site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,vote_p
高雄市楠梓區,0.8847,0.7359,0.3979,0.2878,0.5003,0.0909,0.6492,0.1667,0.3671,39.075,38.9678,0.1626,0.3731
高雄市內門區,0.7523,0.4284,0.136,0.0943,0.5189,0.0861,0.707,0.1353,0.2662,46.6053,48,0.9133,0.4769
高雄市鳥松區,0.8773,0.7406,0.4189,0.3158,0.5185,0.085,0.6603,0.1595,0.3294,43.0394,43.6907,0.6152,0.5937
高雄市旗津區,0.7577,0.5122,0.2151,0.1516,0.4529,0.1059,0.6362,0.1555,0.3353,42.1264,42,0.4878,0.4376
高雄市旗山區,0.7934,0.5793,0.2359,0.1643,0.475,0.0936,0.667,0.1453,0.2843,45.068,46.5377,0.8103,0.3901
高雄市前金區,0.8875,0.7659,0.4729,0.3525,0.4709,0.1025,0.6464,0.1243,0.2795,46.6482,48,0.916,0.3685
高雄市前鎮區,0.8487,0.6862,0.3656,0.2602,0.4737,0.0972,0.641,0.1448,0.3208,42.3673,42.3948,0.5122,0.333
高雄市橋頭區,0.8394,0.6899,0.3457,0.2513,0.5084,0.0773,0.6595,0.1592,0.3359,42.4536,42,0.5257,0.6913
高雄市仁武區,0.8674,0.6985,0.3442,0.243,0.5133,0.0888,0.6553,0.1637,0.3664,39.2986,39.2143,0.1816,0.6787
高雄市三民二,0.887,0.7454,0.4281,0.3097,0.4838,0.0974,0.6355,0.1562,0.3396,40.4569,40.782,0.3008,0.449
高雄市三民一,0.8567,0.7125,0.4049,0.2946,0.4747,0.0931,0.6424,0.1318,0.2981,45.0604,45.8396,0.8022,0.4834
高雄市杉林區,0.7576,0.4237,0.1371,0.0889,0.4676,0.1188,0.6998,0.1235,0.2504,47.2417,49,0.9458,0.5544
高雄市桃源區,0.7827,0.5057,0.1734,0.1254,0.4435,0.0947,0.6319,0.2044,0.4102,36.274,36,0.0163,0.601
高雄市田寮區,0.7027,0.415,0.1395,0.0973,0.5291,0.0883,0.7386,0.1052,0.215,50.9411,52.6228,0.9946,0.6291
高雄市小港區,0.8513,0.6714,0.3268,0.2329,0.4965,0.0945,0.6499,0.1644,0.3663,39.7952,39.3147,0.2466,0.4324
高雄市新興區,0.9032,0.7863,0.4862,0.3596,0.4768,0.0977,0.6459,0.1308,0.2892,45.1275,46,0.8157,0.6596
高雄市鹽埕區,0.8531,0.7046,0.384,0.2732,0.444,0.1128,0.636,0.1347,0.2865,46.4624,48,0.9024,0.4813
高雄市燕巢區,0.8136,0.5761,0.2522,0.1789,0.4944,0.0854,0.6613,0.1571,0.3237,43.1599,43,0.6341,0.3847
高雄市永安區,0.8411,0.6156,0.2763,0.1972,0.5371,0.0718,0.6811,0.1592,0.345,41.293,41.0721,0.3821,0.6725
高雄市梓官區,0.8006,0.6156,0.2679,0.1905,0.489,0.0801,0.6468,0.156,0.3366,41.7027,42,0.4336,0.5607
高雄市左營區,0.8953,0.7514,0.4319,0.3086,0.4888,0.0984,0.6476,0.1488,0.311,39.7601,41,0.2412,0.5106
花蓮縣豐濱鄉,0.6902,0.3851,0.1043,0.0638,0.4124,0.1284,0.6721,0.1122,0.2518,47.0609,48.1364,0.9431,0.4561
花蓮縣鳳林鎮,0.7424,0.5278,0.2204,0.1439,0.4735,0.0996,0.6874,0.1279,0.2628,47.2537,49,0.9485,0.671
花蓮縣富里鄉,0.6995,0.4124,0.1351,0.0906,0.4527,0.1083,0.6793,0.1228,0.2575,46.3868,48,0.8943,0.4825
花蓮縣光復鄉,0.7772,0.5693,0.1759,0.119,0.427,0.1297,0.6645,0.1419,0.2774,46.425,48.2247,0.8997,0.4395
花蓮縣花蓮市,0.8883,0.7269,0.3808,0.262,0.4633,0.1125,0.6446,0.1562,0.3267,40.4389,40.4204,0.2954,0.5207
